function	community_1	community_10	community_2	community_3	community_4	community_5	community_6	community_7	community_8	community_9
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	21.360000000000007	54.57	55.44	81.22	52.98	49.73	36.66	16.83	48.51000000000001	25.980000000000004
1.1.1.136-RXN	0.0	0.0	0.0	0.0	0.0	0.0	2.26	0.0	0.0	0.0
1.1.1.261-RXN	1.03	3.95	6.0600000000000005	6.91	0.92	1.68	0.0	0.72	0.0	1.14
1.1.1.271-RXN	5.24	15.259999999999998	23.73	16.04	12.78	17.04	5.67	1.49	13.23	6.22
1.1.1.39-RXN	12.55	27.97	21.36	42.36	31.31	29.59	20.52	11.12	21.340000000000003	12.97
1.1.1.83-RXN	2.57	0.0	5.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.11.1.15-RXN	21.21	37.07	77.92999999999998	53.99	31.34	30.47	23.46	16.099999999999998	40.68000000000001	23.32
1.12.1.3-RXN	26.0	13.240000000000002	32.4	96.1	43.27	5.1	27.59	29.239999999999995	38.14	15.83
1.15.1.2-RXN	15.12	29.34	28.46	28.71	25.42	27.89	17.55	12.25	24.8	14.990000000000002
1.17.4.2-RXN	27.09	56.04	64.28	84.8	54.98	49.73	35.61	21.7	53.16	30.17
1.18.1.2-RXN	13.800000000000002	27.97	35.08	42.36	31.700000000000006	29.59	20.52	11.12	23.5	15.16
1.2.1.2-RXN	0.52	1.37	1.74	1.79	1.0	0.0	0.0	1.7399999999999998	2.02	2.02
1.2.1.9-RXN	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	2.62	0.0
1.2.3.3-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
1.2.4.4-RXN	0.0	0.0	0.0	2.39	0.0	0.0	0.0	1.54	3.28	0.0
1.2.7.4-RXN	1.04	0.0	0.0	0.0	0.0	0.5	0.0	1.22	0.0	0.0
1.2.7.8-RXN	4.1400000000000015	7.9	14.12	59.8	29.4	13.48	13.04	9.8	6.56	2.28
1.2.99.7-RXN	0.52	0.0	0.0	0.0	0.0	0.0	0.0	0.61	0.0	0.0
1.21.4.1-RXN	0.0	0.0	0.0	110.9	34.45	8.5	14.85	0.0	0.0	0.0
1.21.4.4-RXN	2.57	0.0	2.72	22.18	6.89	1.7	2.97	0.0	0.0	0.0
1.3.1.54-RXN	7.25	10.07	10.35	9.04	9.96	3.6	2.9400000000000004	8.44	12.37	7.94
1.3.1.9-RXN	13.800000000000002	27.97	38.33	47.14	31.700000000000006	29.59	21.87	14.98	30.06	16.78
1.3.99.5-RXN	1.25	0.0	13.72	2.39	0.39	0.0	0.0	0.0	5.44	2.19
1.4.1.11-RXN	3.16	0.0	0.0	0.0	0.0	0.0	0.0	1.38	0.0	1.15
1.4.1.21-RXN	2.57	1.37	7.1	1.79	1.0	0.0	0.0	1.13	2.02	2.02
1.5.1.20-RXN	9.33	29.34	36.82	45.81	28.87	21.8	20.52	10.409999999999998	30.24	16.03
1.5.1.28-RXN	0.0	0.0	2.64	4.24	0.0	0.0	0.0	0.0	0.0	0.0
1.5.1.34-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.54	0.0	0.0
1.5.1.7-RXN	4.82	10.07	25.07	8.93	1.39	1.9	3.94	7.949999999999998	18.380000000000006	9.98
1.6.4.4-RXN	1.25	0.0	13.72	2.39	0.39	0.0	0.0	0.77	5.44	2.19
1.7.2.2-RXN	0.0	0.0	0.0	2.39	0.0	0.0	0.0	0.0	3.28	0.0
1.8.1.4-RXN	9.81	9.13	24.3	49.71	20.31	9.49	4.85	9.38	25.13	12.55
1.8.4.12-RXN	8.81	2.74	23.46	15.15	11.42	8.29	3.93	5.119999999999999	13.13	5.3599999999999985
1.8.4.8-RXN	2.57	0.0	2.72	26.42	0.0	0.0	2.97	0.77	0.0	0.0
1.8.5.2-RXN	0.0	0.0	0.0	2.39	0.0	0.0	0.0	0.0	3.28	0.0
1.8.98.1-RXN	3.12	0.0	0.0	0.0	0.0	0.0	0.0	3.66	0.0	0.0
13-PROPANEDIOL-DEHYDROGENASE-RXN	0.52	0.0	0.0	0.0	0.0	0.0	0.0	0.61	0.0	0.0
1PFRUCTPHOSN-RXN	11.44	27.97	28.46	35.68	26.110000000000007	20.64	17.35	10.26	26.360000000000007	13.84
1TRANSKETO-RXN	57.58000000000001	97.59	111.84	168.32999999999996	105.8	103.89	74.69	36.67	85.77	47.64
2-DEHYDROPANTOATE-REDUCT-RXN	6.12	20.47	10.68	39.12000000000001	27.56	27.91	18.26	7.5	18.34	9.7
2-ENOATE-REDUCTASE-RXN	0.0	0.0	0.0	4.24	0.0	0.0	0.0	0.0	0.0	0.0
2-HALOACID-DEHALOGENASE-RXN	5.73	6.42	10.35	16.0	1.0	9.19	5.2	5.6	3.46	4.79
2-ISOPROPYLMALATESYN-RXN	15.58	27.97	40.44	48.99	29.94	29.59	21.57	14.04	27.39	15.16
2-OCTAPRENYL-6-OHPHENOL-METHY-RXN	2.57	0.0	5.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN	3.02	0.0	27.44	2.39	0.78	0.0	0.0	1.38	9.21	4.38
2-OXOBUTYRATE-SYNTHASE-RXN	33.010000000000005	51.13	57.21000000000001	57.0	45.93000000000001	50.49	26.19	25.1	33.74	25.07
2-OXOGLUTARATE-SYNTHASE-RXN	17.98	5.48	86.32	36.29	31.28	32.16	9.62	21.94	37.14	15.44
2.1.1.130-RXN	7.25	10.07	10.35	31.22	10.96	3.6	9.42	8.44	14.99	8.940000000000003
2.1.1.131-RXN	8.28	20.520000000000003	20.36	42.36	29.55	17.92	12.59	9.16	14.99	12.97
2.1.1.132-RXN	11.95	30.89	31.41	46.82	29.4	19.34	14.240000000000002	14.869999999999996	16.400000000000002	18.9
2.1.1.133-RXN	8.28	20.520000000000003	20.36	42.36	29.55	17.92	12.59	9.16	14.99	12.97
2.1.1.151-RXN	7.25	10.07	10.35	31.22	10.96	3.6	9.42	8.44	14.99	8.940000000000003
2.1.1.63-RXN	16.369999999999994	28.07	42.18	46.54	32.7	29.59	19.52	13.79	28.18	15.18
2.1.1.64-RXN	2.57	0.0	5.36	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.1.1.72-RXN	54.65	131.05999999999997	140.43	151.5	142.92999999999995	158.2	80.02000000000002	47.06	86.99999999999999	53.47000000000001
2.1.1.74-RXN	4.99	1.37	1.0	5.89	7.959999999999999	9.45	5.43	6.18	1.0	1.15
2.1.1.79-RXN	2.57	6.42	10.35	8.530000000000001	1.0	1.4	2.9400000000000004	4.22	4.46	3.64
2.3.1.128-RXN	23.290000000000006	59.75	36.52	97.85	59.57	55.13999999999999	35.57	24.07	60.09	34.01
2.3.1.157-RXN	4.99	1.37	1.0	5.89	10.03	9.45	5.43	6.18	1.61	1.15
2.3.1.179-RXN	13.800000000000002	27.97	35.08	47.14	31.700000000000006	29.59	20.52	11.89	30.06	15.16
2.3.1.180-RXN	17.619999999999994	27.97	51.52	47.14	32.09	29.59	20.52	11.89	32.22000000000001	17.35
2.4.1.129-RXN	7.6400000000000015	17.599999999999994	3.95	36.24	27.63	26.01	17.58	3.22	19.710000000000004	7.19
2.4.1.144-RXN	3.99	15.259999999999998	10.01	6.91	12.39	17.04	5.67	0.72	6.35	3.03
2.4.1.208-RXN	0.0	0.0	0.0	4.24	0.0	0.0	0.0	0.0	0.0	0.0
2.4.1.211-RXN	7.56	25.33	20.36	36.47	21.28	21.3	14.329999999999998	4.94	18.110000000000007	9.82
2.4.1.212-RXN	0.0	0.0	2.64	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.4.1.230-RXN	0.0	2.74	3.48	3.58	2.0	0.0	0.0	2.26	4.04	4.04
2.4.1.83-RXN	12.54	29.13	47.8	13.59	15.17	30.11	15.739999999999998	5.549999999999999	23.76	12.05
2.5.1.19-RXN	13.800000000000002	27.97	35.08	44.75	31.700000000000006	29.59	20.52	11.89	26.78	15.16
2.5.1.39-RXN	0.52	0.0	0.0	0.0	0.0	0.0	0.0	1.38	0.0	0.0
2.5.1.64-RXN	1.25	0.0	13.72	6.630000000000001	0.39	0.0	0.0	0.77	5.44	2.19
2.6.1.22-RXN	0.0	0.0	0.0	4.24	0.0	0.0	0.0	0.0	0.0	0.0
2.6.1.37-RXN	2.28	3.95	26.28	6.91	1.31	1.68	2.7	6.9	2.16	6.5699999999999985
2.6.1.82-RXN	0.52	0.0	0.0	0.0	0.0	0.0	0.0	0.61	0.0	0.0
2.7.1.148-RXN	13.800000000000002	27.97	35.08	44.75	31.700000000000006	29.59	20.52	11.89	26.78	15.16
2.7.1.156-RXN	10.85	20.520000000000003	25.72	42.36	29.55	19.32	12.59	9.93	14.99	12.97
2.7.1.69-RXN	12.77	38.63	29.96	126.28000000000002	47.43	20.16	25.21	15.159999999999998	59.87	32.010000000000005
2.7.1.90-RXN	1.25	0.0	13.72	2.39	0.39	0.0	0.0	0.0	5.44	2.19
2.7.13.3-RXN	109.6	268.23	248.76	392.78999999999985	276.45	274.80000000000007	195.89	89.91999999999999	223.87000000000003	121.67
2.7.3.9-RXN	8.870000000000003	26.6	22.36	39.79	32.0	24.66	22.19	12.86	22.340000000000003	11.82
2.7.7.1-RXN	0.0	0.0	0.0	26.42	6.89	1.7	2.97	0.0	0.0	0.0
2.7.7.13-RXN	8.920000000000002	16.63	23.73	16.85	18.98	18.7	8.84	6.48	16.509999999999998	7.37
2.7.7.15-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.77	0.0	0.0
2.7.7.33-RXN	7.56	25.33	20.36	18.53	13.39	18.44	8.61	4.94	18.110000000000007	10.82
2.7.7.39-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
2.7.7.60-RXN	28.66	43.23	58.53000000000001	72.1	45.09	48.53	32.88	13.99	34.57	19.34
2.7.7.61-RXN	5.14	0.0	10.72	0.0	0.0	2.56	1.29	0.0	0.0	1.0
2.7.7.8-RXN	13.800000000000002	27.97	35.08	44.75	31.700000000000006	29.59	20.52	11.89	26.78	15.16
2.7.8.12-RXN	5.14	0.0	10.72	0.0	0.0	1.4	2.26	0.0	0.0	0.0
