function	community_1	community_10	community_2	community_3	community_4	community_5	community_6	community_7	community_8	community_9
2-NITROPROPANE-DIOXYGENASE-RXN	0.37	1.47	8.48	0.0	0.0	3.56	0.98	11.52	15.64	0.0
2-OCTAPRENYL-6-OHPHENOL-METHY-RXN	3.48	0.0	0.0	0.0	0.0	1.28	95.5	0.0	0.0	0.0
2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN	3.12	8680.160000000002	7450.340000000001	748.6700000000002	708.8000000000002	5782.43	12.989999999999998	15.749999999999998	20.24	672.26
2-OXOBUTYRATE-SYNTHASE-RXN	1661.27	4348.06	99.65	574.6600000000002	1100.38	20516.800000000007	5458.750000000001	34212.970000000016	21461.45	2935.64
2-OXOGLUTARATE-SYNTHASE-RXN	61.24	26028.020000000004	52.0	2400.91	2122.4000000000005	155.34	1990.14	15.590000000000002	24.94	2038.04
2-OXOPENT-4-ENOATE-HYDRATASE-RXN	0.0	0.0	0.0	0.0	0.0	1.28	0.0	0.0	0.0	0.0
2.1.1.130-RXN	45.17	0.0	1.0	0.0	1.07	5760.2	578.39	1.0	0.0	1.58
2.1.1.131-RXN	46.45	0.0	1.0	28.02	1.07	5764.26	581.27	1.0	1.0	6.11
2.1.1.132-RXN	67.61	0.0	1.0	0.0	0.0	5.34	578.39	0.0	1.0	1.58
2.1.1.133-RXN	46.45	0.0	1.0	28.02	1.07	5764.26	581.27	1.0	1.0	6.11
2.1.1.151-RXN	45.17	0.0	1.0	0.0	1.07	5760.2	578.39	1.0	0.0	1.58
2.1.1.63-RXN	1624.56	4347.440000000001	14898.759999999998	422.24	1091.4	8991.44	3102.6	34197.48	21466.08	2915.91
2.1.1.64-RXN	3.48	0.0	0.0	0.0	0.0	1.28	95.5	0.0	0.0	0.0
2.1.1.72-RXN	3337.84	8692.150000000001	22359.47	875.4300000000002	1450.0800000000004	29526.76	4578.6799999999985	68384.86	21481.9	5832.62
2.1.1.74-RXN	1542.39	3.98	7451.81	61.99	737.07	3215.260000000001	2909.15	34172.810000000005	21447.75	2580.01
2.1.1.77-RXN	0.0	0.0	0.0	0.0	0.0	1.28	0.0	0.0	0.0	0.0
2.1.1.79-RXN	3.48	2.85	7428.73	0.0	2.0700000000000003	5762.480000000001	95.5	2.26	14.68	0.24
2.3.1.118-RXN	46.36	0.0	0.0	0.0	0.0	1.28	3.92	0.0	0.0	0.0
2.3.1.128-RXN	4751.949999999999	16.68	7465.38	64.65	3.14	21148.25	1596.0	102523.1	30.57	7711.870000000001
2.3.1.157-RXN	1542.39	8.3	7460.43	61.99	738.1400000000001	8975.6	2909.15	34185.5	21463.529999999995	2580.25
2.3.1.168-RXN	0.37	0.0	0.0	0.0	0.0	1.28	0.98	0.0	0.0	0.0
2.3.1.179-RXN	1620.71	4345.970000000001	33.1	425.17	1089.4	9011.84	3489.01	34187.25	21451.64	2915.91
2.3.1.180-RXN	1621.3300000000004	8686.490000000002	33.5	782.49	1441.66	9012.26	4940.129999999999	34187.679999999986	21452.029999999995	3250.2300000000005
2.3.1.89-RXN	0.37	4.11	2.12	0.0	733.86	1.2	2402.22	2.04	21439.96	5.55
2.3.2.13-RXN	0.37	0.0	0.0	0.0	0.0	0.0	0.98	0.0	0.0	0.0
2.4.1.125-RXN	0.0	2.85	0.14	0.0	0.0	0.0	0.0	0.17	0.14	0.24
2.4.1.129-RXN	78.86	4.61	7444.3200000000015	59.12000000000001	737.07	8.87	2898.04	4.38	21458.26	15.52
2.4.1.144-RXN	32.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.4.1.211-RXN	78.07	0.0	1.0	0.0	1.07	5758.92	95.5	1.0	0.0	1.58
2.4.1.212-RXN	3.48	0.0	0.0	0.0	0.0	0.0	95.5	0.0	0.0	0.0
2.4.1.52-RXN	0.0	11.4	0.56	0.0	0.0	0.0	0.0	0.68	0.56	0.96
2.4.1.57-RXN	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.09	14.54	0.0
2.4.1.58-RXN	0.0	1.47	8.48	0.0	0.0	0.0	0.0	10.43	1.1	0.0
2.4.1.83-RXN	69.78	8675.34	1.52	717.57	704.52	22.6	1064.22	2.9	16.24	669.74
2.5.1.19-RXN	1620.71	4348.8200000000015	33.24	422.24	1089.4	8994.220000000001	3006.12	34187.22	21465.119999999995	2916.15
2.5.1.39-RXN	0.0	0.0	0.0	0.0	0.0	1.28	0.0	0.0	0.0	0.0
2.5.1.46-RXN	0.0	0.0	0.0	0.0	0.0	1.28	0.0	0.0	0.0	0.0
2.5.1.64-RXN	2.87	4341.02	13.010000000000002	391.35	354.47	22.230000000000004	11.52	4.06	18.89	338.18
2.5.1.68-RXN	0.0	0.0	0.0	0.0	0.0	1.42	0.0	1.09	14.54	0.0
2.6.1.22-RXN	0.37	0.0	0.0	0.0	1.07	5758.92	0.98	1.0	0.0	0.0
2.6.1.37-RXN	23.06	4337.67	0.26	357.32000000000005	352.26	0.0	2.45	0.26	0.25	334.08
2.6.1.57-RXN	0.0	1.47	8.48	0.0	0.0	0.0	0.0	10.43	1.1	0.0
2.7.1.148-RXN	1620.71	4345.970000000001	33.1	422.24	1089.4	8994.220000000001	3006.12	34187.05	21464.98	2915.91
2.7.1.156-RXN	49.93000000000001	0.0	1.0	28.02	1.07	5764.26	676.77	1.0	1.0	6.11
2.7.1.63-RXN	0.0	0.0	0.0	0.0	0.0	1.42	0.0	1.09	14.54	0.0
2.7.1.69-RXN	3340.7200000000007	37.08	74341.76	5.74	7356.09	46741.9	24139.92	68388.05	214424.12	5188.74
2.7.1.90-RXN	0.25	4337.67	0.26	360.25	352.26	18.62	1.47	1.55	1.45	334.08
2.7.13.3-RXN	5418.579999999999	13047.94	7616.780000000002	1443.93	2545.11	55826.78	10702.37	102643.67	43016.07	8779.320000000003
2.7.3.9-RXN	1663.09	7.800000000000002	7448.8200000000015	30.89	735.9300000000002	8972.41	2995.58	34183.16	21445.23	2577.97
2.7.7.1-RXN	22.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2.7.7.13-RXN	34.8	4337.67	0.26	391.2000000000001	354.4	11557.78	1454.0000000000002	5.93	17.189999999999998	338.61
2.7.7.33-RXN	37.12	0.0	0.0	0.0	0.0	0.0	580.35	0.0	0.0	0.0
2.7.7.39-RXN	22.44	0.0	7428.59	0.0	1.0	0.42	0.0	0.0	0.0	0.0
2.7.7.60-RXN	1679.82	4343.620000000001	45.86000000000001	453.34	1092.68	14754.01	3206.19	34188.450000000004	21465.51	2921.11
2.7.7.61-RXN	6.96	0.0	0.0	0.0	0.0	0.0	191.0	0.0	0.0	0.0
2.7.7.8-RXN	1620.71	4343.120000000001	32.96	422.24	1089.4	8994.220000000001	3006.12	34186.880000000005	21464.84	2915.67
2.7.8.12-RXN	29.4	0.0	0.0	0.0	1.07	5758.92	191.0	1.0	0.0	0.0
2.7.8.14-RXN	0.0	1.0	23.8	62.2	4.42	1.74	18.14	1.14	1.34	7.72
2.7.8.25-RXN	6.96	0.0	0.0	0.0	0.0	0.0	191.0	0.0	0.0	0.0
2.7.8.6-RXN	0.0	1.47	8.48	0.0	0.0	0.0	0.0	10.43	1.1	0.0
2.7.9.3-RXN	28.17	0.0	0.71	0.0	1.07	5764.3	95.5	1.6800000000000002	3.09	0.0
2.8.1.6-RXN	170.02	4339.14	9.74	388.27	353.33	5783.88	679.22	14.07	17.09	340.19
2.8.3.10-RXN	13.92	0.0	0.0	0.0	0.0	0.0	382.0	0.0	0.0	0.0
2.8.3.9-RXN	0.37	0.0	0.0	0.0	0.0	0.0	0.98	0.0	2.0	0.0
2.9.1.1-RXN	28.54	0.0	0.71	0.0	0.0	1.32	96.48	0.68	2.09	0.0
2OXOGLUTDECARB-RXN	0.37	1.47	8.48	0.0	0.0	2.7	0.98	11.52	15.64	0.0
2PGADEHYDRAT-RXN	1643.15	4345.970000000001	14890.28	422.24	1092.47	14753.14	3006.12	34188.05	21463.98	2915.91
2TRANSKETO-RXN	1991.61	4346.14	7481.120000000001	481.36	2563.5400000000004	26279.63	9068.42	34194.87	64349.23999999999	2939.42
3-CH3-2-OXOBUTANOATE-OH-CH3-XFER-RXN	23.35	4339.64	20.64	391.35	355.54	5781.11	589.9100000000002	14.64	17.76	337.94
3-DEHYDROQUINATE-DEHYDRATASE-RXN	1624.1899999999996	4348.910000000002	7478.6500000000015	422.24	1090.4	8994.220000000001	3101.62	34207.91	21467.18	2915.91
3-DEHYDROQUINATE-SYNTHASE-RXN	1620.71	4345.970000000001	33.1	422.24	1089.4	8994.220000000001	3006.12	34187.05	21464.98	2915.91
3-HYDROXBUTYRYL-COA-DEHYDRATASE-RXN	0.37	0.0	0.0	0.0	0.0	0.0	0.98	0.0	0.0	0.0
3-HYDROXY-KYNURENINASE-RXN	0.37	0.0	0.0	0.0	0.0	1.28	0.98	0.0	0.0	0.0
3-HYDROXYBUTYRATE-DEHYDROGENASE-RXN	0.37	0.0	0.0	0.0	0.0	1.28	0.98	0.0	0.0	0.0
3-HYDROXYBUTYRYL-COA-DEHYDROGENASE-RXN	81.92	4.11	2.12	0.0	734.9300000000002	5770.52	3076.11	4.13	21456.5	5.55
3-HYDROXYDECANOYL-ACP-DEHYDR-RXN	1621.0800000000004	4348.8200000000015	33.24	422.24	1089.4	8992.800000000001	3007.1	34186.130000000005	21450.579999999994	2916.15
3-HYDROXYISOBUTYRATE-DEHYDROGENASE-RXN	1567.4	8.3	31.840000000000003	33.97	737.1400000000001	8971.4	2519.86	34184.41	21447.989999999994	2575.72
3-NUCLEOTID-RXN	1539.6	5.07	7437.3600000000015	5.800000000000002	2.0700000000000003	8984.07	15.03	34172.15	5.51	2566.55
3-OCTAPRENYL-4-OHBENZOATE-DECARBOX-RXN	70.80000000000003	0.0	0.0	0.0	2.14	11517.84	1061.28	2.0	0.0	0.0
3-OXOACID-COA-TRANSFERASE-RXN	0.0	0.0	0.0	0.0	0.0	7.12	0.0	2.18	29.08	0.0
3-OXOACYL-ACP-REDUCT-RXN	3345.13	4352.3	7474.44	456.06	1825.33	17986.11	6681.47	68361.06999999999	42911.30999999998	5495.46
3-OXOADIPATE-ENOL-LACTONASE-RXN	0.0	0.0	0.0	0.0	0.0	1.28	0.0	0.0	0.0	0.0
3.1.1.64-RXN	0.37	0.0	0.0	0.0	0.0	0.42	0.98	0.0	0.0	0.0
3.1.1.75-RXN	0.0	0.0	0.0	0.0	0.0	1.28	0.0	0.0	0.0	0.0
3.1.1.81-RXN	0.37	0.0	0.0	0.0	0.0	0.0	0.98	0.0	0.0	0.0
3.1.11.1-RXN	0.0	1.47	8.48	0.0	0.0	0.0	0.0	10.43	1.1	0.0
3.1.11.2-RXN	1620.34	4347.440000000001	14898.759999999998	422.24	1091.4	8996.92	3005.14	34198.57	21480.62	2915.91
3.1.11.6-RXN	3243.67	8690.970000000001	14927.51	875.58	2183.01	17990.63	6021.31	68364.92	42931.62	5835.6799999999985
3.1.13.1-RXN	0.0	1.47	8.48	0.0	0.0	0.0	0.0	10.43	1.1	0.0
3.1.13.5-RXN	2.25	1.76	14.59	31.1	736.07	7.37	2410.31	4.21	21457.12	9.17
3.1.2.21-RXN	0.0	2.85	7428.73	0.0	1.0	0.0	0.0	0.17	0.14	0.24
3.1.21.1-RXN	0.0	1.47	8.48	0.0	0.0	0.0	0.0	10.43	1.1	0.0
3.1.21.2-RXN	1620.71	4340.89	34.4	453.34	357.75	8991.19	613.95	34174.060000000005	10.05	2914.22
3.1.21.3-RXN	3192.09	26044.210000000006	119.47	2369.99	3597.6800000000007	35283.19	4886.59	68400.33	42911.23999999998	7177.9
3.1.21.4-RXN	0.0	0.0	0.0	2.93	0.0	18.62	0.0	1.29	1.2	0.0
3.1.21.5-RXN	32.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3.1.22.4-RXN	3.78	4340.9000000000015	23.33	419.37	1088.33	28.770000000000003	2897.55	16.19	21460.67	347.7800000000001
3.1.26.11-RXN	137.51	4340.52	7430.990000000002	360.25	355.4	11536.46	193.45	3.72	1.59	337.48
3.1.26.12-RXN	0.0	1.47	8.48	0.0	0.0	2.7	0.0	11.52	15.64	0.0
3.1.26.3-RXN	1620.71	4345.970000000001	7461.69	422.24	1090.4	8994.220000000001	3006.12	34187.05	21464.98	2915.91
