function	community_1	community_10	community_2	community_3	community_4	community_5	community_6	community_7	community_8	community_9
DSERDEAM-RXN	0.0	0.0	1.23	0.0	0.0	0.0	0.0	0.0	0.0	0.42
DTDPDEHYDRHAMEPIM-RXN	10.25	23.700000000000006	29.64	8.9	27.850000000000005	33.69	19.03	13.43	20.6	20.0
DTDPDEHYRHAMREDUCT-RXN	13.62	37.03	15.89	7.85	27.850000000000005	28.94	23.48	10.489999999999998	22.790000000000006	22.82
DTDPGLUCDEHYDRAT-RXN	11.39	29.26	26.75	7.85	27.850000000000005	34.69	18.84	14.61	24.3	21.0
DTDPGLUCOSEPP-RXN	11.39	30.790000000000006	27.98	7.85	27.850000000000005	34.69	20.22	13.43	24.3	21.0
DTDPKIN-RXN	0.0	5.95	0.0	0.0	0.0	0.0	1.38	0.0	0.5	0.42
DTMPKI-RXN	4.75	11.51	20.45	7.77	1.1	19.38	5.37	15.119999999999996	16.94	7.130000000000001
DUDPKIN-RXN	0.0	5.95	0.0	0.0	0.0	0.0	1.38	0.0	0.5	0.42
DURIDKI-RXN	3.0600000000000005	9.52	2.7	8.11	2.94	5.73	1.38	13.509999999999998	10.88	2.29
DUTP-PYROP-RXN	12.41	24.84	32.45	12.8	27.850000000000005	36.16	19.84	23.9	25.360000000000007	23.939999999999994
DXPREDISOM-RXN	10.82	24.84	32.45	12.8	26.750000000000004	32.82	19.84	23.9	19.03	23.939999999999994
DXS-RXN	12.41	30.790000000000006	18.7	14.12	27.850000000000005	26.630000000000006	19.04	21.67	20.01	21.17
ENOYL-ACP-REDUCT-NADH-RXN	10.82	30.790000000000006	32.45	12.8	26.750000000000004	32.82	21.22	23.9	19.03	24.36
ENOYL-ACP-REDUCT-NADPH-RXN	0.45	7.46	1.47	2.66	1.84	0.92	1.38	4.22	0.85	0.75
ENOYL-COA-HYDRAT-RXN	18.73	32.99000000000001	6.460000000000001	9.9	0.0	17.51	22.380000000000006	22.67	21.32	40.75
ENTDB-RXN	4.82	12.13	14.75	5.19	2.1	20.69	5.34	4.65	19.72	7.7799999999999985
ERYTHRON4PDEHYDROG-RXN	0.45	7.46	1.47	2.66	1.84	0.92	1.38	4.22	0.85	0.33
ETHAMLY-RXN	4.46	12.48	0.0	15.3	0.0	0.0	6.32	0.0	7.68	9.18
EXOPOLYPHOSPHATASE-RXN	7.13	22.17	18.94	5.03	16.880000000000006	19.98	13.27	9.989999999999998	11.04	17.939999999999994
F16ALDOLASE-RXN	28.33	68.27	75.91	15.169999999999998	67.36999999999999	76.66	66.13999999999999	35.08	55.89	71.12
F16BDEPHOS-RXN	10.89	25.46	30.87	9.08	26.750000000000004	30.35	20.81	12.72	21.81	25.01
FADSYN-RXN	12.41	24.84	32.45	12.8	27.850000000000005	36.16	19.84	23.9	25.360000000000007	24.36
FARNESYLTRANSTRANSFERASE-RXN	12.41	24.84	32.45	12.8	27.850000000000005	36.16	19.84	23.9	25.360000000000007	24.36
FERREDOXIN--NITRITE-REDUCTASE-RXN	4.74	6.24	8.04	0.0	9.87	15.86	5.260000000000002	1.0	7.57	5.98
FGAMSYN-RXN	10.82	24.84	32.45	12.8	26.750000000000004	32.82	19.84	23.9	19.03	24.779999999999994
FLAVONADPREDUCT-RXN	10.82	18.89	32.45	12.8	26.750000000000004	32.82	18.46	23.9	19.03	23.939999999999994
FMNREDUCT-RXN	6.08	7.75	9.87	5.21	11.140000000000002	13.27	8.45	5.22	7.68	14.75
FOLYLPOLYGLUTAMATESYNTH-RXN	20.62	34.54	43.98	13.94	52.76000000000001	52.28	32.92999999999999	30.17	32.93	41.26
FORMATETHFLIG-RXN	12.41	24.84	32.45	12.8	27.850000000000005	36.16	19.84	23.9	25.360000000000007	24.36
FORMIMINOGLUTAMASE-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42
FORMYLTHFDEFORMYL-RXN	0.45	7.46	1.47	2.66	1.84	0.92	1.38	4.22	0.85	0.75
FORMYLTHFGLUSYNTH-RXN	20.62	34.54	43.98	13.94	52.76000000000001	52.28	32.92999999999999	30.17	32.93	41.26
FPPSYN-RXN	12.41	24.84	32.45	12.8	27.850000000000005	36.16	19.84	23.9	25.360000000000007	24.36
FRUCTOKINASE-RXN	12.86	32.300000000000004	32.69	15.459999999999996	29.690000000000005	37.08	22.5	28.119999999999994	25.71	26.09
FRUCTOSE-6-PHOSPHATE-PHOSPHOKETOLASE-RXN	2.6100000000000003	0.0	1.58	2.4	1.1	4.81	0.0	9.29	7.3900000000000015	2.94
FUCISOM-RXN	1.05	5.95	7.33	0.0	9.3	2.82	3.56	2.65	2.99	0.0
FUCPALDOL-RXN	6.5299999999999985	8.47	36.790000000000006	4.949999999999998	33.78	29.41	20.33	18.97	13.87	19.41
FUCULOKIN-RXN	0.53	0.0	8.04	0.0	9.87	6.33	4.66	1.0	3.73	1.39
FUMHYDR-RXN	21.76	42.22	48.45	24.09	52.76000000000001	57.06	36.11999999999999	31.35	38.19000000000001	43.66
GABATRANSAM-RXN	0.0	0.0	1.23	0.0	0.0	0.0	0.0	0.0	0.0	0.84
GALACTOACETYLTRAN-RXN	5.07	5.25	10.53	0.0	23.910000000000004	16.86	12.12	1.0	3.73	12.22
GALACTOKIN-RXN	11.39	24.84	30.87	10.4	27.850000000000005	34.69	19.84	14.61	23.8	21.42
GALACTURIDYLYLTRANS-RXN	13.170000000000002	23.62	30.630000000000006	7.74	26.01	33.77	21.62	10.39	26.79	25.680000000000003
GALACTUROISOM-RXN	4.62	17.130000000000006	17.549999999999994	7.58	35.48000000000001	13.31	7.53	9.78	6.83	3.26
GALPMUT-RXN	8.21	10.29	25.28	4.92	24.910000000000004	29.43	15.27	8.5	13.419999999999998	21.07
GAMMA-GLUTAMYLTRANSFERASE-RXN	13.38	37.44	0.0	0.0	0.0	0.0	18.96	0.0	23.04	27.96
GAPOXNPHOSPHN-RXN	13.43	24.84	33.68	14.2	27.850000000000005	37.63	19.84	33.19	25.360000000000007	26.32
GART-RXN	11.27	32.300000000000004	33.919999999999995	15.459999999999996	28.590000000000003	33.739999999999995	21.22	28.119999999999994	19.880000000000006	24.69
GCVP-RXN	6.42	21.45	4.3599999999999985	10.42	4.8199999999999985	16.419999999999998	10.1	8.44	10.86	13.46
GCVT-RXN	0.45	7.46	15.22	5.21	1.84	10.45	3.56	7.16	6.199999999999998	3.52
GDP-4-DEHYDRO-D-RHAMNOSE-REDUCTASE-RXN	2.23	6.24	0.0	0.0	0.0	0.0	3.16	0.0	3.84	4.59
GDPKIN-RXN	0.0	5.95	0.0	0.0	0.0	0.0	1.38	0.0	0.5	0.42
GDPMANDEHYDRA-RXN	1.87	12.47	2.54	2.66	1.84	0.92	5.77	4.22	0.85	10.16
GDPPYPHOSKIN-RXN	34.9	62.82	54.53	24.07	86.35	90.97	49.93999999999999	40.89	48.88999999999999	59.33
GDPREDUCT-RXN	10.76	28.500000000000004	5.94	10.61	2.94	5.26	13.45	16.81	23.32	12.89
GKI-RXN	0.0	0.0	0.0	0.0	0.0	0.0	1.28	0.0	0.0	0.0
GLCNACPTRANS-RXN	3.75	5.62	16.56	4.949999999999998	1.1	15.34	4.37	12.23	12.74	7.130000000000001
GLU6PDEHYDROG-RXN	4.2700000000000005	13.7	1.47	2.66	2.94	4.26	5.82	4.22	11.02	5.34
GLUC1PADENYLTRANS-RXN	25.76	35.94	92.7	20.28	88.16	93.6	45.48	43.35999999999999	48.8	49.99999999999999
GLUC1PURIDYLTRANS-RXN	2.73	7.09	16.64	4.05	1.1	13.87	5.37	4.12	15.88	4.19
GLUCISOM-RXN	0.0	10.37	0.0	1.32	0.0	0.0	2.66	0.71	0.0	0.42
GLUCOKIN-RXN	12.86	32.300000000000004	47.67	15.459999999999996	29.690000000000005	50.39	24.68	32.239999999999995	31.559999999999995	27.88
GLUCONATE-5-DEHYDROGENASE-RXN	5.64	17.130000000000006	25.55	7.43	26.180000000000003	21.49	10.09	21.01	10.25	8.13
GLUCONOKIN-RXN	3.82	6.24	0.0	0.0	1.1	3.34	3.16	0.0	10.17	5.01
GLUCOSAMINE-6-P-DEAMIN-RXN	16.54	43.53000000000001	30.710000000000004	14.29	43.73	39.39	32.59	19.77	28.989999999999995	37.99
GLUCOSE-1-DEHYDROGENASE-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.42
GLUCOSYLCERAMIDASE-RXN	0.45	13.41	1.47	2.66	1.84	0.92	2.76	4.22	0.85	0.33
GLUCUROISOM-RXN	4.62	17.130000000000006	17.549999999999994	7.58	35.48000000000001	13.31	7.53	9.78	6.83	3.26
GLURS-RXN	11.84	23.37	47.78	16.25	26.750000000000004	43.82	22.02	37.31	22.24	29.65
GLUTACONATE-COA-TRANSFERASE-RXN	4.46	12.48	0.0	0.0	0.0	7.56	6.32	0.0	7.68	9.18
GLUTACONYL-COA-DECARBOXYLASE-RXN	3.25	6.24	1.58	2.4	0.0	5.25	3.16	9.29	4.9	7.5299999999999985
GLUTAMATE-DEHYDROGENASE-NADP+-RXN	0.0	0.0	0.0	0.0	0.0	0.0	2.56	0.0	0.0	0.0
GLUTAMATE-DEHYDROGENASE-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.84
GLUTAMATE-FORMIMINOTRANSFERASE-RXN	6.69	24.67	0.0	0.0	0.0	3.78	10.86	0.0	11.52	13.77
GLUTAMATE-N-ACETYLTRANSFERASE-RXN	10.37	15.91	30.98	8.64	24.910000000000004	31.9	18.46	19.68	14.48	24.03
GLUTAMATE-SYNTHASE-FERREDOXIN-RXN	5.98	8.47	11.53	6.24	24.910000000000004	17.59	9.93	6.27	3.73	12.31
GLUTAMATE-SYNTHASE-NADH-RXN	18.700000000000006	48.23000000000001	47.92	26.73	56.34	56.28999999999999	32.529999999999994	39.61	24.46	37.75
GLUTAMATESYN-RXN	18.700000000000006	48.23000000000001	47.92	26.73	56.34	56.28999999999999	32.529999999999994	39.61	24.46	37.75
GLUTAMIN-RXN	6.5	19.94	1.47	2.66	2.94	8.04	7.7	4.22	14.86	9.51
GLUTAMINE--TRNA-LIGASE-RXN	10.82	24.84	15.81	11.48	26.750000000000004	23.29	16.659999999999997	20.25	13.18	21.17
GLUTAMINESYN-RXN	33.28	75.72	70.27999999999999	24.1	68.64000000000001	79.51	58.40000000000001	50.63	48.37	68.73
GLUTARATE-SEMIALDEHYDE-DEHYDROGENASE-RXN	1.59	0.0	0.0	0.0	1.1	3.34	2.56	0.0	6.33	0.84
GLUTARYL-COA-DEHYDROGENASE-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42
GLUTATHIONE-PEROXIDASE-RXN	0.0	11.840000000000002	13.75	2.8200000000000003	0.0	9.53	4.84	6.739999999999998	9.55	4.28
