function	community_1	community_10	community_2	community_3	community_4	community_5	community_6	community_7	community_8	community_9
RXN1G-182	38.35	41.58000000000001	38.87	41.82	45.47	45.77	36.65000000000001	44.66	27.200000000000006	32.16
RXN1G-184	38.35	41.58000000000001	38.87	41.82	45.47	45.77	36.65000000000001	44.66	27.200000000000006	32.16
RXN1G-188	16.48	13.580000000000002	15.07	17.930000000000003	21.81	16.48	14.57	16.099999999999998	11.2	14.78
RXN1G-193	15.41	13.580000000000002	18.96	17.930000000000003	24.41	16.48	14.57	16.099999999999998	12.510000000000002	16.26
RXN1G-196	15.41	13.580000000000002	18.96	17.930000000000003	24.41	16.48	14.57	16.099999999999998	12.510000000000002	16.26
RXN1G-202	16.98	15.48	15.07	15.88	21.22	16.48	16.150000000000002	18.0	12.59	16.26
RXN1G-203	38.35	41.58000000000001	38.87	41.82	45.47	45.77	36.65000000000001	44.66	27.200000000000006	32.16
RXN1G-210	15.41	13.580000000000002	18.96	17.930000000000003	24.41	16.48	14.57	16.099999999999998	12.510000000000002	16.26
RXN1G-214	16.48	13.580000000000002	15.07	17.930000000000003	21.81	16.48	14.57	16.099999999999998	11.2	14.78
RXN1G-218	3.92	0.0	0.0	6.28	7.82	0.0	2.0	2.34	0.0	3.8
RXN1G-220	16.48	13.580000000000002	15.07	17.930000000000003	21.81	16.48	14.57	16.099999999999998	11.2	14.78
RXN1G-236	3.92	0.0	0.0	6.28	7.82	0.0	2.0	2.34	0.0	3.8
RXN1G-240	38.35	41.58000000000001	38.87	41.82	45.47	45.77	36.65000000000001	44.66	27.200000000000006	32.16
RXN1G-248	15.41	13.580000000000002	18.96	17.930000000000003	24.41	16.48	14.57	16.099999999999998	12.510000000000002	16.26
RXN1G-252	38.35	41.58000000000001	38.87	41.82	45.47	45.77	36.65000000000001	44.66	27.200000000000006	32.16
RXN1G-2544	0.0	2.34	1.0	1.06	0.0	3.23	1.06	6.26	1.08	0.0
RXN1G-26	3.92	0.0	0.0	6.28	7.82	0.0	2.0	2.34	0.0	3.8
RXN1G-260	38.35	41.58000000000001	38.87	41.82	45.47	45.77	36.65000000000001	44.66	27.200000000000006	32.16
RXN1G-262	38.35	41.58000000000001	38.87	41.82	45.47	45.77	36.65000000000001	44.66	27.200000000000006	32.16
RXN1G-266	16.48	13.580000000000002	15.07	17.930000000000003	21.81	16.48	14.57	16.099999999999998	11.2	14.78
RXN1G-27	16.48	13.580000000000002	15.07	17.930000000000003	21.81	16.48	14.57	16.099999999999998	11.2	14.78
RXN1G-276	15.41	13.580000000000002	18.96	17.930000000000003	24.41	16.48	14.57	16.099999999999998	12.510000000000002	16.26
RXN1G-279	16.48	13.580000000000002	15.07	17.930000000000003	21.81	16.48	14.57	16.099999999999998	11.2	14.78
RXN1G-285	15.41	13.580000000000002	18.96	17.930000000000003	24.41	16.48	14.57	16.099999999999998	12.510000000000002	16.26
RXN1G-287	38.35	41.58000000000001	38.87	41.82	45.47	45.77	36.65000000000001	44.66	27.200000000000006	32.16
RXN1G-294	16.48	13.580000000000002	15.07	17.930000000000003	21.81	16.48	14.57	16.099999999999998	11.2	14.78
RXN1G-299	15.41	13.580000000000002	18.96	17.930000000000003	24.41	16.48	14.57	16.099999999999998	12.510000000000002	16.26
RXN1G-306	3.92	0.0	0.0	6.28	7.82	0.0	2.0	2.34	0.0	3.8
RXN1G-308	16.48	13.580000000000002	15.07	17.930000000000003	21.81	16.48	14.57	16.099999999999998	11.2	14.78
RXN1G-309	16.48	13.580000000000002	15.07	17.930000000000003	21.81	16.48	14.57	16.099999999999998	11.2	14.78
RXN1G-32	16.98	15.48	15.07	15.88	21.22	16.48	16.150000000000002	18.0	12.59	16.26
RXN1G-320	16.48	13.580000000000002	15.07	17.930000000000003	21.81	16.48	14.57	16.099999999999998	11.2	14.78
RXN1G-324	3.92	0.0	0.0	6.28	7.82	0.0	2.0	2.34	0.0	3.8
RXN1G-334	16.98	15.48	15.07	15.88	21.22	16.48	16.150000000000002	18.0	12.59	16.26
RXN1G-337	15.41	13.580000000000002	18.96	17.930000000000003	24.41	16.48	14.57	16.099999999999998	12.510000000000002	16.26
RXN1G-339	15.41	13.580000000000002	18.96	17.930000000000003	24.41	16.48	14.57	16.099999999999998	12.510000000000002	16.26
RXN1G-349	38.35	41.58000000000001	38.87	41.82	45.47	45.77	36.65000000000001	44.66	27.200000000000006	32.16
RXN1G-355	16.48	13.580000000000002	15.07	17.930000000000003	21.81	16.48	14.57	16.099999999999998	11.2	14.78
RXN1G-358	38.35	41.58000000000001	38.87	41.82	45.47	45.77	36.65000000000001	44.66	27.200000000000006	32.16
RXN1G-363	16.48	13.580000000000002	15.07	17.930000000000003	21.81	16.48	14.57	16.099999999999998	11.2	14.78
RXN1G-364	38.35	41.58000000000001	38.87	41.82	45.47	45.77	36.65000000000001	44.66	27.200000000000006	32.16
RXN1G-3641	0.0	2.34	1.0	1.06	0.0	3.23	1.06	6.26	1.08	0.0
RXN1G-368	3.92	0.0	0.0	6.28	7.82	0.0	2.0	2.34	0.0	3.8
RXN1G-37	15.41	13.580000000000002	18.96	17.930000000000003	24.41	16.48	14.57	16.099999999999998	12.510000000000002	16.26
RXN1G-374	16.98	15.48	15.07	15.88	21.22	16.48	16.150000000000002	18.0	12.59	16.26
RXN1G-377	16.48	13.580000000000002	15.07	17.930000000000003	21.81	16.48	14.57	16.099999999999998	11.2	14.78
RXN1G-384	38.35	41.58000000000001	38.87	41.82	45.47	45.77	36.65000000000001	44.66	27.200000000000006	32.16
RXN1G-395	15.41	13.580000000000002	18.96	17.930000000000003	24.41	16.48	14.57	16.099999999999998	12.510000000000002	16.26
RXN1G-396	15.41	13.580000000000002	18.96	17.930000000000003	24.41	16.48	14.57	16.099999999999998	12.510000000000002	16.26
RXN1G-408	38.35	41.58000000000001	38.87	41.82	45.47	45.77	36.65000000000001	44.66	27.200000000000006	32.16
RXN1G-409	38.35	41.58000000000001	38.87	41.82	45.47	45.77	36.65000000000001	44.66	27.200000000000006	32.16
RXN1G-420	16.48	13.580000000000002	15.07	17.930000000000003	21.81	16.48	14.57	16.099999999999998	11.2	14.78
RXN1G-424	16.98	15.48	15.07	15.88	21.22	16.48	16.150000000000002	18.0	12.59	16.26
RXN1G-425	16.48	13.580000000000002	15.07	17.930000000000003	21.81	16.48	14.57	16.099999999999998	11.2	14.78
RXN1G-4355	3.92	0.0	4.22	6.94	10.83	0.0	2.0	2.34	1.31	5.2799999999999985
RXN1G-440	16.48	13.580000000000002	15.07	17.930000000000003	21.81	16.48	14.57	16.099999999999998	11.2	14.78
RXN1G-445	3.92	0.0	0.0	6.28	7.82	0.0	2.0	2.34	0.0	3.8
RXN1G-460	3.92	0.0	0.0	6.28	7.82	0.0	2.0	2.34	0.0	3.8
RXN1G-464	16.48	13.580000000000002	15.07	17.930000000000003	21.81	16.48	14.57	16.099999999999998	11.2	14.78
RXN1G-468	15.41	13.580000000000002	18.96	17.930000000000003	24.41	16.48	14.57	16.099999999999998	12.510000000000002	16.26
RXN1G-469	38.35	41.58000000000001	38.87	41.82	45.47	45.77	36.65000000000001	44.66	27.200000000000006	32.16
RXN1G-471	15.41	13.580000000000002	18.96	17.930000000000003	24.41	16.48	14.57	16.099999999999998	12.510000000000002	16.26
RXN1G-481	38.35	41.58000000000001	38.87	41.82	45.47	45.77	36.65000000000001	44.66	27.200000000000006	32.16
RXN1G-488	15.41	13.580000000000002	18.96	17.930000000000003	24.41	16.48	14.57	16.099999999999998	12.510000000000002	16.26
RXN1G-499	3.92	0.0	0.0	6.28	7.82	0.0	2.0	2.34	0.0	3.8
RXN1G-508	38.35	41.58000000000001	38.87	41.82	45.47	45.77	36.65000000000001	44.66	27.200000000000006	32.16
RXN1G-509	15.41	13.580000000000002	18.96	17.930000000000003	24.41	16.48	14.57	16.099999999999998	12.510000000000002	16.26
RXN1G-517	16.48	13.580000000000002	15.07	17.930000000000003	21.81	16.48	14.57	16.099999999999998	11.2	14.78
RXN1G-526	15.41	13.580000000000002	18.96	17.930000000000003	24.41	16.48	14.57	16.099999999999998	12.510000000000002	16.26
RXN1G-554	16.48	13.580000000000002	15.07	17.930000000000003	21.81	16.48	14.57	16.099999999999998	11.2	14.78
RXN1G-557	16.98	15.48	15.07	15.88	21.22	16.48	16.150000000000002	18.0	12.59	16.26
RXN1G-580	16.98	15.48	15.07	15.88	21.22	16.48	16.150000000000002	18.0	12.59	16.26
RXN1G-582	16.98	15.48	15.07	15.88	21.22	16.48	16.150000000000002	18.0	12.59	16.26
RXN1G-607	15.41	13.580000000000002	18.96	17.930000000000003	24.41	16.48	14.57	16.099999999999998	12.510000000000002	16.26
RXN1G-613	38.35	41.58000000000001	38.87	41.82	45.47	45.77	36.65000000000001	44.66	27.200000000000006	32.16
RXN1G-617	38.35	41.58000000000001	38.87	41.82	45.47	45.77	36.65000000000001	44.66	27.200000000000006	32.16
RXN1G-637	38.35	41.58000000000001	38.87	41.82	45.47	45.77	36.65000000000001	44.66	27.200000000000006	32.16
RXN1G-645	16.48	13.580000000000002	15.07	17.930000000000003	21.81	16.48	14.57	16.099999999999998	11.2	14.78
RXN1G-648	16.48	13.580000000000002	15.07	17.930000000000003	21.81	16.48	14.57	16.099999999999998	11.2	14.78
RXN1G-660	16.98	15.48	15.07	15.88	21.22	16.48	16.150000000000002	18.0	12.59	16.26
RXN1G-679	15.41	13.580000000000002	18.96	17.930000000000003	24.41	16.48	14.57	16.099999999999998	12.510000000000002	16.26
RXN1G-686	15.41	13.580000000000002	18.96	17.930000000000003	24.41	16.48	14.57	16.099999999999998	12.510000000000002	16.26
RXN1G-717	38.35	41.58000000000001	38.87	41.82	45.47	45.77	36.65000000000001	44.66	27.200000000000006	32.16
RXN1G-72	38.35	41.58000000000001	38.87	41.82	45.47	45.77	36.65000000000001	44.66	27.200000000000006	32.16
