function	community_1	community_10	community_2	community_3	community_4	community_5	community_6	community_7	community_8	community_9
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	20.62	21.69	18.43	17.16	42.89	18.61	28.74	25.02	20.38	22.56
1.1.1.261-RXN	3.2	0.0	2.25	0.0	0.0	2.56	5.380000000000001	2.02	2.25	0.0
1.1.1.271-RXN	4.71	7.54	5.1400000000000015	4.0600000000000005	1.77	6.45	10.79	11.1	7.6400000000000015	3.65
1.1.1.39-RXN	10.25	12.47	8.98	9.87	29.39	8.26	12.41	11.31	8.88	13.13
1.1.1.83-RXN	1.86	0.0	1.47	0.0	0.0	0.0	1.86	1.55	1.05	1.66
1.11.1.15-RXN	26.92	22.340000000000003	24.41	10.47	19.770000000000003	21.33	37.7	22.42	22.11	24.22
1.12.1.3-RXN	31.7	22.99	32.8	11.64	59.34	14.529999999999998	52.85000000000001	25.07000000000001	29.11	33.58
1.15.1.2-RXN	11.61	10.4	11.85	8.870000000000003	23.950000000000006	8.26	16.04	17.03	11.29	16.369999999999994
1.17.4.2-RXN	21.43	23.82	23.8	20.110000000000007	41.89	18.17	35.21	26.57	24.149999999999995	27.379999999999995
1.18.1.2-RXN	11.26	14.15	10.42	9.87	25.020000000000003	9.27	14.32	12.37	10.33	14.34
1.2.1.2-RXN	0.0	2.07	1.4	0.0	0.0	0.0	1.77	0.0	1.36	1.58
1.2.1.9-RXN	0.0	2.07	0.0	1.0	1.28	0.0	0.0	0.0	0.0	0.0
1.2.4.4-RXN	3.98	1.68	3.18	0.74	0.0	3.66	6.73	3.8	4.0	2.03
1.2.7.4-RXN	0.5	2.07	0.0	0.0	4.37	0.0	0.0	0.0	0.0	0.0
1.2.7.8-RXN	16.8	3.36	7.38	4.0	24.860000000000007	7.14	16.580000000000002	10.36	9.66	2.42
1.21.4.1-RXN	1.0	0.0	0.0	5.0	14.09	0.0	0.0	0.0	0.0	0.0
1.21.4.4-RXN	0.0	0.0	0.0	1.0	1.07	0.0	0.0	0.0	0.0	0.0
1.3.1.54-RXN	5.78	4.15	5.49	5.58	20.47	3.47	3.63	6.76	2.41	5.84
1.3.1.9-RXN	17.709999999999994	15.829999999999998	15.34	10.24	25.020000000000003	15.73	25.87	17.83	15.68	15.96
1.3.99.5-RXN	3.98	1.68	3.18	0.0	0.0	2.92	6.73	3.08	3.2	1.21
1.4.1.11-RXN	0.0	1.0	1.1	1.16	0.0	1.19	0.0	0.0	0.0	0.0
1.4.1.21-RXN	5.84	1.68	6.050000000000002	0.0	0.0	2.92	10.36	4.630000000000001	5.61	4.45
1.5.1.20-RXN	12.55	12.07	11.39	9.08	27.65	7.71	19.84	18.92	13.84	15.06
1.5.1.28-RXN	1.86	0.0	1.47	0.0	0.0	0.0	1.86	1.55	1.05	1.66
1.5.1.34-RXN	0.0	0.0	0.0	0.37	0.0	0.37	0.0	0.36	0.4	0.41
1.5.1.7-RXN	8.87	5.08	8.030000000000001	4.39	19.44	6.18	14.01	6.090000000000002	8.440000000000001	11.45
1.6.4.4-RXN	7.960000000000001	3.36	6.3599999999999985	0.37	0.0	6.21	13.46	6.5200000000000005	6.800000000000002	2.83
1.7.2.2-RXN	10.43	3.36	8.1	0.0	0.0	7.75	18.28	8.18	8.15	2.42
1.8.1.4-RXN	11.5	7.51	14.2	2.53	11.19	8.419999999999998	20.630000000000006	12.239999999999998	11.93	10.5
1.8.4.12-RXN	10.89	7.51	11.13	2.53	3.02	6.509999999999999	14.13	11.77	8.51	9.0
1.8.4.8-RXN	0.5	0.0	0.0	0.37	4.37	0.37	0.0	0.36	0.4	0.41
1.8.5.2-RXN	4.53	5.04	4.32	0.0	0.0	3.03	5.73	3.18	4.35	3.63
1PFRUCTPHOSN-RXN	10.71	12.8	12.73	10.5	33.25	7.07	18.69	11.86	12.589999999999998	21.630000000000006
1TRANSKETO-RXN	44.66	43.68000000000001	40.4	36.27	103.36	29.12	57.24999999999999	60.56999999999999	38.51	50.64999999999999
2-DEHYDROPANTOATE-REDUCT-RXN	8.63	13.42	9.52	8.049999999999999	7.95	10.89	16.75	12.12	11.31	9.35
2-ENOATE-REDUCTASE-RXN	1.0	0.0	0.0	0.0	8.74	0.0	0.0	0.0	0.0	0.0
2-HALOACID-DEHALOGENASE-RXN	3.1	1.0	3.97	2.39	0.0	2.45	3.63	5.72	2.41	4.57
2-ISOPROPYLMALATESYN-RXN	15.590000000000002	16.22	13.63	10.61	25.020000000000003	11.92	21.0	16.66	13.93	16.82
2-OCTAPRENYL-6-OHPHENOL-METHY-RXN	1.86	0.0	1.47	0.0	0.0	0.0	1.86	1.55	1.05	1.66
2-OCTAPRENYL-METHOXY-BENZOQ-METH-RXN	5.99	3.36	4.62	0.37	4.37	4.3	8.64	4.500000000000001	5.050000000000002	2.83
2-OXOBUTYRATE-SYNTHASE-RXN	20.12	24.01	19.09	19.96	30.250000000000004	20.770000000000003	24.32	17.199999999999996	17.519999999999996	16.78
2-OXOGLUTARATE-SYNTHASE-RXN	35.91	29.52	32.78	2.32	42.6	22.95	56.89	23.940000000000005	30.37	32.05
2.1.1.130-RXN	8.3	8.64	8.370000000000001	6.58	17.380000000000006	5.49	8.52	8.879999999999997	5.3100000000000005	8.26
2.1.1.131-RXN	7.41	4.54	7.98	6.58	21.24	5.75	7.91	7.76	4.21	11.1
2.1.1.132-RXN	8.31	6.14	11.36	8.969999999999997	23.87	8.84	12.15	7.82	7.52	13.95
2.1.1.133-RXN	7.41	6.61	7.98	6.58	21.24	5.75	7.91	7.76	4.21	11.1
2.1.1.151-RXN	8.3	8.64	8.370000000000001	6.58	17.380000000000006	5.49	8.52	8.879999999999997	5.3100000000000005	8.26
2.1.1.63-RXN	17.009999999999998	11.69	14.79	7.45	18.880000000000006	11.829999999999998	23.87	18.32	15.339999999999998	12.73
2.1.1.64-RXN	1.86	0.0	1.47	0.0	0.0	0.0	1.86	1.55	1.05	1.66
