seq	community_1	community_2	community_3	community_4	community_5	community_6	community_7	community_8	community_9	community_10
Otu1	0	0	0	0	0	0	0	0	0	0
Otu2	2.4685241185208	1.74423301009558	0	0	1.90578187251874	4.81649022198114	2.02043651325463	1.75196498263539	0	0
Otu3	0	0	0	0	0	0	0	0	0	0
Otu4	1.51375676149391	1.442662995734	0	0	1.00910605117782	1.91493273648375	1.06491603290412	1.45402113030102	1.21363742758552	1.68036597108819
Otu5	0	0	0	0	0	0	0	0	0	0
Otu6	0	0	0	0	0	0	0	0	0	0
Otu7	0	0	0	0	0	1.7457632242444	1.44376932919439	1.4450849776238	1.03494560349567	1.32115318024801
Otu8	0	0	0	0	0	0	0	0	0	0
Otu9	0	0	1.12305459214894	0	1.11623934385108	0	1.07043838054371	1.20980576144484	1.23318024314021	0
Otu10	0	0	0	0	1.62780189943294	0	0	0	0	0
Otu11	0	0	0	0	0	0	0	0	0	0
Otu12	0	0	0	0	0	0	0	0	0	0
Otu13	1.6808999239716	1.07109900577388	0	1.7358483393621	1.02257672024374	0	0	0	1.27483444908963	1.07895579301054
Otu14	0	0	0	0	0	0	0	0	0	0
Otu15	0	0	0	8.38218676195957	0	0	0	0	0	0
Otu16	1.85668444236987	1.46937821214875	0	0	0	1.86497868749537	1.55468549538033	1.04811192098307	1.6609038409875	0
Otu17	1	0	0	8.73106941188196	0	0	0	0	0	0
Otu18	0	1.34765205120522	1.20374585663064	1.61939450375372	0	0	0	0	0	0
Otu19	0	0	0	0	0	0	0	0	0	0
Otu20	0	0	0	0	0	0	0	0	0	0
Otu21	1.0468733641237	0	0	1	0	0	0	0	0	0
Otu22	1.29133679253581	0	0	1.55339103403758	0	1	1.10392429639687	1.13396605423258	0	0
Otu23	0	0	0	0	0	0	0	0	0	0
Otu24	0	0	0	0	0	0	0	0	0	0
Otu25	0	0	1.03320159904238	1.22876266332191	1.50899997334411	1.74700132963814	0	2.08707965383123	1	1.33692726624395
Otu26	0	0	0	0	0	0	0	0	0	0
Otu27	1.45469376994179	1.01927346642673	0	0	0	1.11813930465676	0	1	0	0
Otu28	0	0	0	0	1	0	0	0	0	0
Otu29	0	0	0	0	0	0	0	0	0	0
Otu30	0	0	0	0	0	0	0	0	0	0
Otu31	0	0	0	0	0	0	0	0	0	0
Otu32	0	1.10001927917868	1.1638708577227	0	1.19355763141063	0	0	0	0	1
Otu33	0	0	0	0	0	0	0	0	1.32942078071226	0
Otu34	0	0	0	0	0	0	0	0	0	0
Otu35	0	0	0	0	0	0	0	0	0	0
Otu36	0	0	0	0	0	0	0	0	0	0
Otu37	0	0	0	0	0	0	3.11154361653103	0	0	0
Otu38	0	0	0	0	0	0	0	0	0	0
Otu39	0	0	1	1.27933674186836	0	0	0	0	0	0
Otu40	1.24486419187862	0	1.22999762203711	0	0	0	0	0	0	0
Otu41	0	0	0	0	0	0	0	0	0	0
Otu42	0	0	0	0	0	0	0	0	0	0
Otu43	0	0	0	0	0	0	0	0	0	0
Otu44	0	0	0	0	0	0	0	0	0	0
Otu45	0	0	0	0	0	0	0	0	0	0
Otu46	0	0	0	0	0	0	0	0	0	0
Otu47	0	0	1.78832265434883	0	0	0	0	0	0	0
Otu48	0	0	0	0	0	0	0	0	0	0
Otu49	0	0	0	0	0	0	0	0	0	0
Otu50	0	0	0	0	0	0	0	0	0	0
Otu51	0	0	0	0	0	0	0	0	0	0
Otu52	0	0	0	0	0	0	0	0	0	0
Otu53	0	0	0	0	1.29231339573345	0	0	0	0	0
Otu54	0	0	0	0	1.26277635024943	0	0	0	0	0
Otu55	0	0	0	0	0	0	0	0	0	1.13210471243939
Otu56	0	0	0	0	0	1.07248300961847	0	0	0	0
Otu57	0	0	0	0	0	0	0	0	0	0
Otu58	0	0	0	0	0	0	0	0	0	0
Otu59	0	0	0	0	0	0	0	0	0	0
Otu60	0	0	0	0	0	0	0	0	0	0
Otu61	1.39767709080226	0	0	0	0	0	1	0	0	0
Otu62	0	0	0	0	0	0	0	0	0	0
Otu63	0	0	0	0	0	0	0	0	3.86488745235554	0
Otu64	0	0	0	0	0	0	0	0	0	0
Otu65	0	0	1.2478065114678	0	0	0	1.00703468793353	0	0	1.27776323515176
Otu66	0	0	0	0	0	0	0	0	0	0
Otu67	0	0	0	0	0	0	0	0	0	0
Otu68	0	0	0	0	0	0	0	0	0	0
Otu69	0	0	0	0	0	0	0	0	0	0
Otu70	0	0	0	0	0	0	0	0	0	0
Otu71	0	0	0	0	0	0	0	0	0	0
Otu72	0	0	0	0	0	0	0	0	0	0
Otu73	0	0	0	0	0	0	0	0	0	0
Otu74	0	0	0	0	0	0	0	0	0	0
Otu75	0	1.97589694576047	0	3.8581104933983	0	2.65240267407962	0	1.2995676358179	1.39828718736522	1.33354674992292
Otu76	0	0	0	0	0	0	0	0	0	0
Otu77	0	0	0	0	0	0	0	0	0	0
Otu78	0	0	0	0	0	0	0	0	0	0
Otu79	0	0	0	0	0	0	0	0	0	0
Otu80	0	0	0	0	0	0	0	0	0	0
Otu81	0	0	0	0	0	0	0	0	0	0
Otu82	0	0	0	0	0	0	0	0	0	0
Otu83	0	0	1.00312315636542	1.06523653252399	0	0	0	0	0	0
Otu84	0	0	0	0	0	0	0	0	0	0
Otu85	0	0	0	0	0	0	0	0	0	0
Otu86	0	0	0	0	0	0	4.17332661168235	0	0	0
Otu87	0	0	0	0	0	0	0	0	0	0
Otu88	0	0	0	0	0	0	0	0	0	0
Otu89	0	0	0	0	0	0	0	0	0	0
Otu90	0	0	0	0	0	0	0	0	0	0
Otu91	0	0	0	0	0	0	0	0	0	0
Otu92	0	0	0	0	0	0	0	0	0	0
Otu93	0	0	0	0	0	0	0	0	0	0
Otu94	0	0	0	0	0	0	0	0	0	0
Otu95	0	0	0	0	0	0	0	0	0	0
Otu96	0	0	0	0	0	0	0	0	0	0
Otu97	0	0	0	0	0	0	0	0	0	0
Otu98	0	0	0	0	0	0	0	0	0	0
Otu99	0	0	0	0	0	0	0	0	0	0
Otu100	0	0	0	0	0	0	0	0	0	0
Otu101	0	0	0	0	0	0	0	0	0	0
Otu102	0	0	0	0	0	0	0	0	0	0
Otu103	0	0	0	0	0	0	0	0	0	0
Otu104	0	0	0	0	0	0	0	0	0	0
Otu105	0	0	0	0	0	0	0	0	0	0
Otu106	0	0	0	0	0	0	0	0	0	0
Otu107	0	0	0	0	0	0	0	0	0	0
Otu108	0	0	0	0	0	0	0	0	0	0
Otu109	0	0	0	0	0	0	0	0	0	0
Otu110	0	0	0	0	0	0	0	0	0	0
Otu111	0	0	0	0	0	0	0	0	0	0
Otu112	0	0	0	0	0	0	0	0	0	2.06809013240798
Otu113	0	0	0	0	0	0	0	0	0	0
Otu114	0	0	0	0	0	0	0	0	0	0
Otu115	0	0	0	0	0	0	0	0	0	0
Otu116	0	0	0	0	0	0	0	0	0	0
Otu117	0	0	0	0	0	0	0	0	0	0
Otu118	0	0	0	0	0	0	0	0	0	0
Otu119	0	0	0	0	0	0	0	0	0	0
Otu120	0	1.40413540256135	0	0	0	1.77163549909903	0	1.35767835672764	1.58032040171641	0
Otu121	0	0	0	0	0	0	0	0	0	0
Otu122	0	0	0	0	0	0	0	0	0	0
Otu123	0	0	0	0	0	0	0	0	0	0
Otu124	0	0	0	0	0	0	0	0	0	0
Otu125	0	0	0	0	0	0	0	0	0	0
Otu126	0	0	0	0	0	0	0	0	0	0
Otu127	0	0	0	0	0	0	0	0	0	0
Otu128	0	0	0	0	0	0	0	0	0	0
Otu129	0	0	0	0	0	0	0	0	0	0
Otu130	0	0	0	0	0	0	0	0	0	0
Otu131	0	0	0	0	0	0	0	0	0	0
Otu132	0	0	0	0	0	0	0	0	0	0
Otu133	0	0	0	0	0	0	0	0	0	0
Otu134	0	0	0	0	0	0	0	0	0	0
Otu135	0	0	0	0	0	0	0	0	0	0
Otu136	0	0	0	0	0	0	0	0	0	0
Otu137	0	0	0	0	0	0	0	0	0	0
Otu138	0	0	0	0	0	0	0	0	0	0
Otu139	0	0	0	0	0	0	0	0	0	0
Otu140	0	0	0	0	0	0	0	0	0	0
Otu141	0	0	0	0	0	0	0	0	0	0
Otu142	0	0	0	0	0	0	0	0	0	0
Otu143	0	0	0	0	0	0	0	0	0	0
Otu144	0	0	0	0	0	0	0	0	0	0
Otu145	0	0	0	0	0	0	0	0	0	0
Otu146	0	0	0	0	0	0	0	0	0	0
Otu147	0	0	0	0	0	0	0	0	0	0
Otu148	0	0	0	0	0	0	0	0	0	0
Otu149	0	0	0	0	0	0	0	0	0	0
Otu150	0	0	0	0	0	0	0	0	0	0
Otu151	0	0	0	0	0	0	0	0	0	0
Otu152	0	0	0	0	0	0	0	0	0	0
Otu153	0	0	0	0	0	0	0	0	0	0
Otu154	0	0	0	0	0	0	0	0	0	0
Otu155	0	0	0	0	0	0	0	0	0	0
Otu156	0	0	0	0	0	0	0	0	0	0
Otu157	0	0	0	0	0	0	0	0	0	0
Otu158	0	0	0	0	0	0	0	0	0	0
Otu159	0	0	0	0	0	0	0	0	0	0
Otu160	0	0	0	0	0	0	0	0	0	0
Otu161	0	0	0	0	0	0	0	0	0	0
Otu162	0	0	0	0	0	0	0	0	0	0
Otu163	0	0	0	0	0	0	0	0	0	0
Otu164	0	0	0	0	0	0	0	0	0	0
Otu165	0	0	0	0	0	0	0	0	0	0
Otu166	0	0	0	0	0	0	0	0	0	0
