seq	community_1	community_2	community_3	community_4	community_5	community_6	community_7	community_8	community_9	community_10
Otu1	0	1.98228880234763	0	733.855163973483	1.19667015649569	2401.24321313685	1.87461831766983	21439.8169214269	5.30589939847661	1.25883392579769
Otu2	1536.27106712968	8.62875799242519	2.86580726200151	0	3206.52857573914	12.0872419089175	34169.6900360068	4.16760609099597	2566.30690690849	2.21885122461989
Otu3	0	0	0	0	0	0	0	0	0	0
Otu4	0	7363.92584980885	0	0	0	0	0	0	0	0
Otu5	0	0	1.96946329478814	2.47830325235874	0	0	1.02814777294001	1	0	17224.0703746558
Otu6	0	0	0	1.07268261239471	5758.92024891973	0	1	0	0	0
Otu7	0	0	0	0	0	0	0	0	0	0
Otu8	0	0	856.618957574901	0	0	1.09498004332958	0	0	1	0
Otu9	0	0	0	0	0	1	0	0	1331.2393943224	0
Otu10	3.48451623165741	0	0	0	0	95.4991563677171	0	0	0	0
Otu11	0	0	0	0	0	0	0	1.0016614386792	0	0
Otu12	0	0	2.93159885740609	0	18.6237735112729	0	1.28822688776799	1.1968363430318	0	0
Otu13	0	0	0	0	0	0	0	0	0	0
Otu14	0	0	0	0	0	0	0	0	0	0
Otu15	0	0	0	0	0	0	0	0	0	0
Otu16	0	0	0	0	0	0	0	0	0	0
Otu17	0	0	0	0	0	0	0	0	0	0
Otu18	32.904001665382	0	0	0	0	0	0	0	0	0
Otu19	0	0	0	0	4.06269951732948	0	0	0	0	0
Otu20	0	0	0	0	0	0	0	0	0	0
Otu21	0	0	0	0	0	0	0	0	0	0
Otu22	0	0	0	0	0	0	0	0	0	0
Otu23	0	0	0	0	0	0	0	0	0	0
Otu24	1	0	184.782627194795	0	0	3.81139541052141	0	0	0	1.24503080917454
Otu25	0	0	0	0	0	0	0	0	0	0
Otu26	0	0	0	0	0	0	0	0	0	0
Otu27	0	0	0	0	0	0	0	0	0	0
Otu28	0	1	0	0	0	0	0	0	1.57744549944058	0
Otu29	0	0	0	0	0	0	0	0	0	0
Otu30	0	8.48237948197428	0	0	0	0	10.4343479620357	1.09718716140986	0	1.46533589717477
Otu31	0	0	0	0	0	0	0	0	0	0
Otu32	0	0	0	0	0	0	0	0	0	0
Otu33	0	0	0	0	0	0	0	0	0	0
Otu34	0	23.7947349755562	0	4.41454305805598	1.7303795436239	18.1307569167336	1.13602240884333	1.3454118949543	7.71267621701173	1
Otu35	0	0	0	0	0	0	0	0	0	0
Otu36	0	0	0	0	0	0	0	0	0	0
Otu37	0	0	0	0	0	0	0	0	0	0
Otu38	0	0	0	0	0	0	0	0	0	0
Otu39	0	0	0	0	0	0	0	0	0	0
Otu40	0	0	0	0	0	0	0	0	0	0
Otu41	0	0	0	0	0	0	0	0	0	0
Otu42	0	0	0	0	0	0	0	0	0	0
Otu43	0	0	0	0	0	0	0	0	0	0
Otu44	0	0	0	0	0	0	0	0	0	0
Otu45	0	0	0	0	0	0	0	0	0	0
Otu46	4.50559181798718	1.42218605850989	0	0	2.64463999941172	0	1.3668996620352	4.18375296322683	0	0
Otu47	0	0	0	0	0	0	0	0	0	0
Otu48	19.2466301314798	0	0	0	0	0	0	0	0	0
Otu49	0	0	0	0	0	0	0	0	0	0
Otu50	22.4386167882685	0	0	0	0	0	0	0	0	0
Otu51	0	0	0	0	0	0	0	0	0	0
Otu52	0	0	0	0	0	0	0	0	0	0
Otu53	0	0	0	0	0	0	0	0	0	0
Otu54	0	0	0	0	0	0	0	0	0	0
Otu55	0	0	0	0	0	0	0	0	0	0
Otu56	0	0	0	0	0	0	0	0	0	0
Otu57	0	1.08055993482545	0	0	0	0	1.37803187184237	1.13423330409218	1.92073905342421	22.7603297406643
Otu58	0	0	0	0	0	0	0	0	0	0
Otu59	0	0	0	0	0	0	0	0	0	0
Otu60	1.27861059539203	0	28.0172858662825	0	0	2.87795803168308	0	0	4.52655769822553	0
Otu61	0	0	0	0	0	0	0	0	0	0
Otu62	0	0	0	0	0	0	0	0	0	0
Otu63	0	0	0	0	0	0	0	0	0	0
Otu64	0	0	0	0	0	0	0	0	0	0
Otu65	0	0	0	0	0	0	0	0	2.52012772593824	0
Otu66	0	0	0	0	0	0	0	0	0	0
Otu67	0	0	0	0	0	0	0	0	0	0
Otu68	0	0	0	0	0	0	0	0	0	0
Otu69	0	0	0	0	0	0	0	0	0	0
Otu70	0	0	0	0	0	0	0	0	0	0
Otu71	0	0	0	0	0	0	0	0	0	0
Otu72	0	0	0	0	0	0	0	0	0	0
Otu73	0	0	0	0	0	0	0	0	0	0
Otu74	0	0	0	0	0	0	0	0	0	0
Otu75	0	0	0	0	0	0	0	0	0	0
Otu76	0	0	0	0	0	0	0	0	0	0
Otu77	0	0	0	0	0	0	0	0	0	0
Otu78	0	0	0	0	0	0	0	0	0	0
Otu79	0	0	0	0	0	0	0	0	0	0
Otu80	0	0	0	0	0	0	0	0	0	0
Otu81	0	0	0	0	0	0	0	0	0	0
Otu82	0	0	0	0	0	0	0	0	0	0
Otu83	0	0	0	0	0	0	0	0	0	0
Otu84	0	0	0	0	0	0	0	0	0	0
Otu85	0	0	0	0	0	0	0	0	0	0
Otu86	0	0	0	0	0	0	0	0	0	0
Otu87	0	0	0	0	0	0	0	0	0	0
Otu88	0	0	0	0	0	0	0	0	0	0
Otu89	0	0	0	0	0	0	0	0	0	0
Otu90	0	0	0	0	0	0	0	0	0	0
Otu91	0	0	0	0	0	0	0	0	0	0
Otu92	0	0	0	0	0	0	0	0	0	0
Otu93	0	0	0	0	0	0	0	0	0	0
Otu94	0	0	0	0	0	0	0	0	0	0
Otu95	0	0	0	0	0	0	0	0	0	0
Otu96	0	0	0	0	0	0	0	0	0	0
Otu97	0	0	0	0	0	0	0	0	0	0
Otu98	0	0	0	0	0	0	0	0	0	0
Otu99	0	0	0	0	0	0	0	0	0	0
Otu100	0	0	0	0	0	0	0	0	0	0
Otu101	0	0	0	0	0	0	0	0	0	0
Otu102	0	0	0	0	0	0	0	0	0	0
Otu103	0	0	0	0	0	0	0	0	0	0
Otu104	0	0	0	0	0	0	0	0	0	0
Otu105	0	0	0	0	0	0	0	0	0	0
Otu106	0	0	0	0	0	0	0	0	0	0
Otu107	0	0	0	0	0	0	0	0	0	0
Otu108	0	0	0	0	0	0	0	0	0	0
Otu109	0	0	0	0	0	0	0	0	0	0
Otu110	0	0	0	0	0	0	0	0	0	0
Otu111	0	0	0	0	0	0	0	0	0	0
Otu112	0	0	0	0	0	0	0	0	0	0
Otu113	0	0	0	0	0	0	0	0	0	0
Otu114	0	0	0	0	0	0	0	0	0	0
Otu115	0	0	0	0	0	0	0	0	0	0
Otu116	0	0	0	0	0	0	0	0	0	0
Otu117	0	0	0	0	0	0	0	0	0	0
Otu118	0	0	0	0	0	0	0	0	0	0
Otu119	0	0	0	0	0	0	0	0	0	0
Otu120	0	0	0	0	0	0	0	0	0	0
Otu121	0	0	0	0	0	0	0	0	0	0
Otu122	0	0	0	0	0	0	0	0	0	0
Otu123	0	0	0	0	1	0	1.09225849797291	14.5443574630015	0	0
Otu124	0	0	0	0	0	0	0	0	0	0
Otu125	0	0	0	0	0	0	0	0	0	0
