seq	community_1	community_2	community_3	community_4	community_5	community_6	community_7	community_8	community_9	community_10
Otu1	1.01798431961669	1	0	0	1.02832114452379	1.00527328448018	0	0	0	1
Otu2	0	0	0	0	0	0	0	0	0	0
Otu3	0	0	0	0	0	0	0	0	0	0
Otu4	0	0	0	0	1.11797971841456	1	1.01630884472982	0	0	0
Otu5	0	1.15854059314789	0	0	1.40754215478899	0	1.67341219179017	0	1.51388668551294	1.08684544594938
Otu6	0	0	0	0	0	0	0	0	0	0
Otu7	0	0	0	0	0	0	0	0	0	0
Otu8	1.11150796871366	1.26276268560596	0	0	0	0	0	1.10525175015094	0	0
Otu9	0	0	12.2878257846286	0	0	0	0	0	0	0
Otu10	0	0	0	0	1.1508146524932	0	0	0	0	0
Otu11	0	0	0	0	1.89565638932449	2.65201190163162	1.24703953830467	0	0	1.72705225978035
Otu12	0	0	0	0	0	1.151352913207	1.02005557952488	0	0	0
Otu13	0	0	0	0	0	1.23874428696622	0	0	0	0
Otu14	0	1.02410067495167	0	0	0	0	0	0	1.3212291451576	0
Otu15	0	0	0	0	0	1.18404438576315	1	0	0	0
Otu16	0	0	0	0	0	0	0	0	0	0
Otu17	0	0	0	0	0	0	0	0	0	0
Otu18	0	0	0	6.13616997650466	0	0	1.13735648261793	0	0	0
Otu19	0	0	0	0	1.01398461857528	0	0	0	0	0
Otu20	0	0	1.19447229333672	0	0	0	0	1.28169883259843	0	0
Otu21	0	0	0	0	1.533765584715	0	1.04626948930561	0	0	0
Otu22	0	0	0	0	0	0	0	0	0	0
Otu23	0	0	0	0	0	0	0	0	0	0
Otu24	0	0	0	0	0	0	0	0	0	0
Otu25	0	0	0	0	1.11118036328084	0	0	0	0	0
Otu26	0	0	0	0	0	0	0	0	0	0
Otu27	0	1.05373664322019	0	0	0	0	0	0	0	0
Otu28	0	0	0	0	0	0	0	0	0	0
Otu29	0	0	0	0	0	0	0	0	0	0
Otu30	1.13406515722435	0	0	0	0	0	0	0	1.43404466710029	0
Otu31	0	0	1.21147293782477	0	0	0	0	1.14860227629652	0	0
Otu32	1.03527283717959	0	0	0	1.27233433957314	0	0	0	0	0
Otu33	0	0	0	0	0	1.15274907806699	0	0	1.11078104026499	0
Otu34	0	0	0	0	0	0	0	0	0	0
Otu35	0	0	0	0	0	0	0	0	0	0
Otu36	0	0	0	0	0	0	0	0	0	0
Otu37	0	0	0	0	0	0	0	0	0	0
Otu38	0	0	0	0	0	0	1.19518664135044	0	0	0
Otu39	0	0	0	0	0	0	0	0	0	0
Otu40	0	0	0	0	0	0	0	0	0	0
Otu41	0	0	0	0	0	1.21997627145536	0	0	0	0
Otu42	1.07076781171042	0	0	0	0	0	0	1.22963824121338	0	1.16313985108768
Otu43	1.18549171828038	0	0	0	0	0	0	0	1.15957624512547	0
Otu44	1.31103085408961	0	0	0	0	0	0	0	0	0
Otu45	1	0	0	0	0	0	0	0	0	1.23508578368886
Otu46	0	0	0	0	0	0	0	0	0	0
Otu47	0	0	0	0	0	0	0	0	0	0
Otu48	0	0	0	0	0	0	1.2339059578718	1.0579168870858	1.12089506782143	0
Otu49	0	0	0	0	0	0	0	0	0	0
Otu50	0	0	0	0	0	0	0	0	0	0
Otu51	0	0	0	0	0	0	0	0	1.1448121442554	0
Otu52	1.16454720908526	0	0	0	0	0	0	0	0	0
Otu53	0	0	0	0	0	0	0	0	0	0
Otu54	0	1.15191879232801	0	0	0	0	0	0	0	0
Otu55	0	0	0	0	0	0	0	0	0	0
Otu56	0	0	0	10.6206123773814	0	0	0	1.95433915227474	1.3456239946848	0
Otu57	0	0	0	0	0	0	0	0	0	0
Otu58	0	0	0	0	0	0	0	0	0	0
Otu59	0	0	0	0	0	0	0	0	0	0
Otu60	0	0	0	0	0	0	0	0	0	0
Otu61	0	0	0	0	0	0	0	0	0	0
Otu62	0	0	0	0	0	0	0	0	0	1.01309759512275
Otu63	0	0	0	1.03481155225821	0	0	1.13658553147875	0	0	1.0201931223754
Otu64	0	0	0	0	0	0	0	0	1.14471460021572	0
Otu65	0	0	0	0	0	0	0	0	0	0
Otu66	1.20951243934951	0	0	0	0	0	0	0	0	0
Otu67	0	0	0	0	0	0	0	0	0	0
Otu68	0	1.40425575965792	0	0	0	0	0	0	0	0
Otu69	0	0	0	1.07016265760198	0	0	0	0	0	0
Otu70	0	0	0	0	0	0	0	0	0	0
Otu71	0	0	0	0	0	0	0	0	0	0
Otu72	0	0	0	0	0	0	0	0	0	0
Otu73	0	0	0	0	0	0	0	0	0	0
Otu74	0	0	0	0	0	1.0115389784022	0	0	0	1.69777367086568
Otu75	0	0	0	0	0	0	0	0	0	0
Otu76	0	0	0	0	0	0	0	0	0	0
Otu77	0	0	0	0	0	0	0	0	0	0
Otu78	0	1.26069931736882	0	0	0	0	0	0	0	0
Otu79	0	0	0	0	0	0	0	0	0	0
Otu80	0	0	0	0	0	0	0	0	0	0
Otu81	0	0	0	0	0	0	0	0	0	0
Otu82	0	0	0	0	0	0	0	0	0	0
Otu83	0	0	0	0	0	0	0	0	0	0
Otu84	0	0	0	0	0	0	0	0	0	0
Otu85	0	0	0	0	0	0	0	0	0	0
Otu86	0	0	0	0	0	0	0	0	0	0
Otu87	0	0	1.3951553402193	0	0	0	0	1.06943313761745	0	0
Otu88	0	0	0	0	0	0	0	0	0	0
Otu89	0	0	0	0	0	0	0	0	0	0
Otu90	0	0	0	0	0	0	0	0	0	0
Otu91	0	0	0	0	0	1.16599241311102	0	1.44069856205858	0	0
Otu92	0	0	1.43530262670795	0	0	0	0	0	0	0
Otu93	0	0	0	0	0	0	0	0	0	0
Otu94	0	0	0	0	0	0	0	0	0	0
Otu95	0	0	0	0	0	0	0	0	0	0
Otu96	0	0	0	0	0	0	0	0	0	0
Otu97	0	0	0	0	0	0	0	0	0	0
Otu98	0	0	0	1.19041470168809	0	0	0	0	0	0
Otu99	0	0	0	0	0	0	0	0	0	0
