function	community_1	community_10	community_2	community_3	community_4	community_5	community_6	community_7	community_8	community_9
1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN	761.4499999999998	567.4499999999998	827.83	654.3099999999997	870.4500000000003	3131.6999999999994	122.61	5973.06	148.06	336.35
1.1.1.136-RXN	29.84	2.83	0.0	2.62	10.15	0.54	0.0	0.55	0.0	9.09
1.1.1.215-RXN	0.0	0.0	0.0	0.45	0.0	0.0	0.0	0.0	2.4	0.0
1.1.1.253-RXN	0.0	0.0	0.0	0.0	0.0	1.33	0.0	0.0	0.0	0.0
1.1.1.261-RXN	1.37	0.0	0.0	0.0	5.32	0.0	3.25	0.0	0.0	0.0
1.1.1.264-RXN	0.0	0.0	0.0	0.0	2.19	0.0	0.0	0.0	0.0	0.0
1.1.1.271-RXN	10.7	274.78	113.59000000000002	0.0	0.32	15.87	94.56	0.0	87.12	109.9
1.1.1.39-RXN	717.47	281.17	240.25000000000003	616.19	857.62	3068.67	19.12	1171.04	51.88	212.44000000000003
1.1.1.83-RXN	0.0	0.0	0.0	0.0	0.0	0.0	8.2	0.0	4.8	0.0
1.10.2.2-RXN	0.0	0.0	0.0	0.0	9.11	2.66	0.0	0.0	4.8	0.0
1.11.1.15-RXN	2006.79	1113.0699999999997	1045.61	1808.03	2540.010000000001	3088.620000000001	289.03	5982.85	423.06000000000006	937.5
1.12.1.3-RXN	2153.78	20.22	11.18	1782.68	2521.42	84.16999999999999	59.75	34.2	153.64	632.04
1.13.11.49-RXN	0.0	0.0	0.0	0.8200000000000001	2.52	0.0	0.0	0.0	0.0	0.0
1.14.11.2-RXN	0.0	0.0	0.0	0.45	0.0	0.0	0.0	0.0	2.4	0.0
1.14.19.1-RXN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4	0.0
1.15.1.2-RXN	688.47	277.57	3.0	604.76	837.77	3080.11	25.18	1170.49	51.78	202.85
1.17.1.1-RXN	0.0	2.64	1.41	5.74	10.3	1.33	1.99	0.0	3.58	1.3
1.17.4.2-RXN	732.4499999999998	567.0899999999998	826.42	645.13	852.0000000000001	3140.48	128.82	5974.240000000002	142.98000000000005	325.9600000000001
1.18.1.2-RXN	730.38	559.09	355.25	620.95	858.8700000000001	3018.99	106.89	1169.48	143.48000000000005	322.55
1.2.1.2-RXN	2.52	6.78	2.82	16.380000000000006	4.57	276.51	5.48	5.93	12.259999999999998	4.37
1.2.1.27-RXN	0.0	0.0	0.0	0.45	2.66	0.0	0.0	0.0	4.8	0.0
